web_scraper_order,web_scraper_start_url,data,price,data2,data3,data4,data5,image,image2
"1775868766-1","https://www.marxfoods.com/meat/category/beef","$239","$239","Grass-Fed Beef Hanger Steaks","1 case minimum, 10 lbs","/case","Quick View","https://www.marxfoods.com/images/grass-fed-beef-hanger-steaks_grassfedbeefhangersteaks-1.jpg?resizeid=13&resizeh=200&resizew=200","https://www.marxfoods.com/images/Best%20Seller.png"
"1775868766-2","https://www.marxfoods.com/meat/category/beef","","$595","Grass-Fed Beef Point-End Briskets","1 case minimum, approx. 37 lbs","/case","Quick View","https://www.marxfoods.com/images/Grass-Fed-Beef-Briskets_Grass-FedBeefBriskets-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-3","https://www.marxfoods.com/meat/category/beef","","$237","Wagyu Ground Beef","1 case minimum, 12 lbs","/case","Quick View","https://www.marxfoods.com/images/Wagyu-Ground-Beef_wagyugroundbeef-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-4","https://www.marxfoods.com/meat/category/beef","$299","$299","Grass-fed Beef Ribeye Steaks","1 case minimum, 10 lbs","/case","Quick View","https://www.marxfoods.com/images/grass-fed-beef-ribeye-steaks_grassfedbeefribeyesteaks-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-5","https://www.marxfoods.com/meat/category/beef","$279","$279","Grass-fed Cowboy Ribeye Steaks","1 case minimum, approx. 10 lbs","/case","Quick View","https://www.marxfoods.com/images/cowboy-ribeye-steaks_grass-fedcowboyribeyesteaks-1.jpg?resizeid=13&resizeh=200&resizew=200","https://www.marxfoods.com/images/Best%20Seller.png"
"1775868766-6","https://www.marxfoods.com/meat/category/beef","","$279","Grass-Fed Angus Beef Outer Skirt Steaks","1 case minimum, 10 lbs","","Quick View","https://www.marxfoods.com/images/grass-fed-angus-beef-outer-skirt-steaks_grassfedangusbeefouterskirtsteaks-1?resizeid=13&resizeh=200&resizew=200","https://www.marxfoods.com/images/Sale.png"
"1775868766-7","https://www.marxfoods.com/meat/category/beef","","$189","Wholesale Wagyu Burgers","1 case minimum, 9 lbs","/case","Quick View","https://www.marxfoods.com/images/wagyu-burgers_wagyuburgers-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-8","https://www.marxfoods.com/meat/category/beef","$299","$299","Grass-Fed Beef Bavette Steaks (Sirloin Flap Meat)","1 case minimum, 10 lbs","/case","Quick View","https://www.marxfoods.com/images/grass-fed-beef-bavette-steaks_grassfedbeefbavettesteaks-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-9","https://www.marxfoods.com/meat/category/beef","$279","$279-$289","Grass-Fed Beef Strip Steaks","1 case minimum, 8-11 lbs","/case","Quick View","https://www.marxfoods.com/images/Grassfed-Beef-Strip-Steaks_GrassfedBeefStripSteaks-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-10","https://www.marxfoods.com/meat/category/beef","$399","$399","Grass-Fed Beef Filet Mignons","1 case minimum, 10 lbs","/case","Quick View","https://www.marxfoods.com/images/Grass-fed-Beef-Filet-Mignon_GrassfedBeefFiletMignon-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-11","https://www.marxfoods.com/meat/category/beef","$779","$779","Grass-fed Beef Whole Ribeye","1 case minimum, approx. 38 lbs","/case","Quick View","https://www.marxfoods.com/images/grass-fed-beef-ribeye-rolls_grassfedbeefribeye-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-12","https://www.marxfoods.com/meat/category/beef","$879","$879","Grass-Fed Beef Tenderloin","1 case minimum, approx. 28 lbs","/case","Quick View","https://www.marxfoods.com/images/grass-fed-beef-tenderloin_Grass-FedBeefTenderloin-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-13","https://www.marxfoods.com/meat/category/beef","","$584","Grass-Fed Beef Chuck Rolls","1 case minimum, approx. 42 lbs","/case","Quick View","https://www.marxfoods.com/images/Grass-Fed-Beef-Chuck-Rolls_GrassFedBeefChuckRolls-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-14","https://www.marxfoods.com/meat/category/beef","","$397","Grass-Fed Beef Shoulder Tenders (Teres Majors)","1 case minimum, approx. 17 lbs","/case","Quick View","https://www.marxfoods.com/images/grass-fed-teres-majors_grass-fedbeefteresmajors-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-15","https://www.marxfoods.com/meat/category/beef","","$539","Grain-Fortified Beef Shanks (Thor’s Hammer)","1 case minimum, approx. 34 lbs","/case","Quick View","https://www.marxfoods.com/images/grain-fortified-beef-shanks-thors-hammer_grainfortifiedbeefshanksthorshammer-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-16","https://www.marxfoods.com/meat/category/beef","","$779","Grain-Fed Angus Beef Boneless Ribeye Roll","1 case minimum, approx. 24 lbs","/case","Quick View","https://www.marxfoods.com/images/grain-fed-angus-beef-boneless-ribeye-roll_grainfedangusbeefbonelessribeyeroll-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-17","https://www.marxfoods.com/meat/category/beef","","$318","Canoe-Cut Beef Marrow Bones","1 case minimum, approx. 30 lbs","/case","Quick View","https://www.marxfoods.com/images/canoe-cut-beef-marrow-bones_canoecutbeefmarrowbones-01.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-18","https://www.marxfoods.com/meat/category/beef","","$249","Grass-Fed Beef Flanken Cut Short Ribs","1 case minimum, approx. 10 lbs","/case","Quick View","https://www.marxfoods.com/images/grass-fed-beef-flanken-cut-short-ribs_grassfedbeefflankencutshortribs-1.png?resizeid=13&resizeh=200&resizew=200",""
"1775868766-19","https://www.marxfoods.com/meat/category/beef","","$349","Grass-Fed Beef Porterhouse Steaks","1 case minimum, approx. 11 lbs","/case","Quick View","https://www.marxfoods.com/images/grass-fed-beef-porterhouse-steaks_GrassfedBeefPorterhouseSteaks-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-20","https://www.marxfoods.com/meat/category/beef","","$269","Grass-Fed Angus Beef Top Sirloin Steak","1 case minimum, 10 lbs","/case","Quick View","https://www.marxfoods.com/images/grass-fed-angus-beef-top-sirloin-steak_grassfedangusbeeftopsirloinsteak-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-21","https://www.marxfoods.com/meat/category/beef","$319","$319","Grass-Fed Beef Flat Iron Steaks","1 case minimum, 10 lbs","/case","Quick View","https://www.marxfoods.com/images/grass-fed-beef-flat-iron-steaks_Grass-FedBeefFlatIronSteaks-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-22","https://www.marxfoods.com/meat/category/beef","","$219","Grass-Fed Angus Ground Beef Steakhouse Blend","1 case minimum, 10 lbs","/case","Quick View","https://www.marxfoods.com/images/grass-fed-angus-ground-beef-steakhouse-blend_grassfedangusgroundbeefsteakhouseblend-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-23","https://www.marxfoods.com/meat/category/beef","$209","$209","Grass-Fed Beef Angus Burgers","1 case minimum, 8-9 lbs","/case","Quick View","https://www.marxfoods.com/images/grass-fed-beef-steak-burgers_Grass-FedBeefAngusBurgers-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868766-24","https://www.marxfoods.com/meat/category/beef","","$619","Grass-fed Beef Top Sirloin","1 case minimum, approx. 45 lbs","/case","Quick View","https://www.marxfoods.com/images/Grass-fed-Beef-Top-Butt_Grass-FedBeefTopSirloin-1.jpg?resizeid=13&resizeh=200&resizew=200",""
