web_scraper_order,web_scraper_start_url,data,price,data2,data3,data4,data5,image
"1775868983-1","https://www.marxfoods.com/meat/category/lamb","$619","$619","New Zealand Frenched Lamb Racks (8-Rib)","1 case minimum, approx. 20-25 lbs","/case","Quick View","https://www.marxfoods.com/images/new-zealand-lamb-8-rib-frenched-racks_newzealandlamb8ribfrenchedracks-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-2","https://www.marxfoods.com/meat/category/lamb","","$519","New Zealand Boneless Lamb Legs","1 case minimum, approx. 31 lbs","/case","Quick View","https://www.marxfoods.com/images/Grass-Fed-Boneless-Lamb-Legs_GrassFedBonelessLambLegs-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-3","https://www.marxfoods.com/meat/category/lamb","$299","$299","Frenched 4-Rib New Zealand Lamb Racks","1 case minimum, approx. 12 lbs","/case","Quick View","https://www.marxfoods.com/images/Ovation-4-Rib-Lamb-Racks_Ovation4RibLambRacks-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-4","https://www.marxfoods.com/meat/category/lamb","","$319","New Zealand Lamb Tenderloins","1 case minimum, approx. 13 lbs","","Quick View","https://www.marxfoods.com/images/New-Zealand-Lamb-Tenderloins_NewZealandLambTenderloins-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-5","https://www.marxfoods.com/meat/category/lamb","$399","$399","New Zealand Lamb Hindshanks","1 case minimum, approx. 22 lbs","/case","Quick View","https://www.marxfoods.com/images/Bulk-Lamb-Shanks_BulkLambShanks-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-6","https://www.marxfoods.com/meat/category/lamb","","$629","New Zealand Lamb Neck Meat for Sale","1 case minimum, approx. 50 lbs","/case","Quick View","https://www.marxfoods.com/images/grass-fed-lamb-necks_grassfedlambnecks-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-7","https://www.marxfoods.com/meat/category/lamb","","$239","New Zealand Ground Lamb","1 case minimum, 12 lbs","/case","Quick View","https://www.marxfoods.com/images/ground-grass-fed-lamb_groundgrassfedlamb-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-8","https://www.marxfoods.com/meat/category/lamb","","$849","New Zealand Lamb Trim","1 case minimum, approx. 60 lbs","/case","Quick View","https://www.marxfoods.com/images/Lamb-Trim-Meat_LambTrimMeat-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-9","https://www.marxfoods.com/meat/category/lamb","","$649","New Zealand Lamb Chump","1 case minimum, approx. 32 lbs","/case","Quick View","https://www.marxfoods.com/images/Grass-Fed-Lamb-Chump_GrassFedLambChump-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-10","https://www.marxfoods.com/meat/category/lamb","","$189","New Zealand Lamb Burgers","1 case minimum, 8 lbs","/case","Quick View","https://www.marxfoods.com/images/grassfed-lamb-burgers_grassfedlambburgers-01.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-11","https://www.marxfoods.com/meat/category/lamb","","$609","New Zealand Boneless Lamb Shoulders","1 case minimum, approx. 34 lbs","/case","Quick View","https://www.marxfoods.com/images/boneless-lamb-shoulders_BonelessLambShoulders-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-12","https://www.marxfoods.com/meat/category/lamb","","$479","New Zealand Lamb Leg with Bone","1 case minimum, approx. 28 lbs","/case","Quick View","https://www.marxfoods.com/images/bone-in-lamb-legs_BoneInLambLegs-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-13","https://www.marxfoods.com/meat/category/lamb","","$379","New Zealand Lamb Shanks","1 case minimum, approx. 21 lbs","/case","Quick View","https://www.marxfoods.com/images/grass-fed-lamb-foreshanks_GrassFedLambForeshanks-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-14","https://www.marxfoods.com/meat/category/lamb","$309","$309-$329","New Zealand Boneless Lamb Striploins","1 case minimum, approx. 13 lbs","/case","Quick View","https://www.marxfoods.com/images/boneless-lamb-striploins_BonelessLambStriploins-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-15","https://www.marxfoods.com/meat/category/lamb","","$809","Spanish Merino Lamb 8-rib Frenched Racks","1 case minimum, approx. 23 lbs","/case","Quick View","https://www.marxfoods.com/images/Spanish-merino-lamb-8-rib-frenched-racks_Spanishmerinolamb8ribfrenchedracks-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-16","https://www.marxfoods.com/meat/category/lamb","","$539","Spanish Merino Lamb Hind Shanks","1 case minimum, approx. 24 lbs","/case","Quick View","https://www.marxfoods.com/images/Spanish-merino-lamb-hind-shanks_Spanishmerinolambhindshanks-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-17","https://www.marxfoods.com/meat/category/lamb","","$469","Spanish Merino Lamb Spare Ribs","1 case minimum, approx. 18 lbs","/case","Quick View","https://www.marxfoods.com/images/Spanish-merino-lamb-spare-ribs_Spanishmerinolambspareribs-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-18","https://www.marxfoods.com/meat/category/lamb","","$449","Spanish Merino Lamb Porterhouse Loin Chops","1 case minimum, approx. 19 lbs","/case","Quick View","https://www.marxfoods.com/images/Spanish-merino-lamb-t-bone-saddle-cutlets_Spanishmerinolambt-bonesaddlecutlets-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-19","https://www.marxfoods.com/meat/category/lamb","","$769","Spanish Merino Lamb Leg Bone-in","1 case minimum, approx. 36 lbs","/case","Quick View","https://www.marxfoods.com/sca-dev-2020-1/extensions/Cumula3/MarxFoodsTheme2025/26.0.3/img/no_image_available.jpeg?resizeid=13&resizeh=200&resizew=200"
"1775868983-20","https://www.marxfoods.com/meat/category/lamb","","$319","Spanish Merino Lamb Tenderloins","1 case minimum, approx. 13 lbs","/case","Quick View","https://www.marxfoods.com/sca-dev-2020-1/extensions/Cumula3/MarxFoodsTheme2025/26.0.3/img/no_image_available.jpeg?resizeid=13&resizeh=200&resizew=200"
"1775868983-21","https://www.marxfoods.com/meat/category/lamb","","$439","Whole Suckling Lamb","1 case minimum, approx. 8-15 lbs","/case","Quick View","https://www.marxfoods.com/sca-dev-2020-1/extensions/Cumula3/MarxFoodsTheme2025/26.0.3/img/no_image_available.jpeg?resizeid=13&resizeh=200&resizew=200"
"1775868983-22","https://www.marxfoods.com/meat/category/lamb","","$669","Suckling Lamb Fore Quarters","1 case minimum, approx. 22 lbs","/case","Quick View","https://www.marxfoods.com/sca-dev-2020-1/extensions/Cumula3/MarxFoodsTheme2025/26.0.3/img/no_image_available.jpeg?resizeid=13&resizeh=200&resizew=200"
"1775868983-23","https://www.marxfoods.com/meat/category/lamb","","$309","Welsh Lamb Spare Ribs","1 case minimum, approx. 19 lbs","/case","Quick View","https://www.marxfoods.com/images/welsh-lamb-spare-ribs_welshlambspareribs-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775868983-24","https://www.marxfoods.com/meat/category/lamb","","$459","Welsh Lamb Boneless Leg","1 case minimum, approx. 19 lbs","/case","Quick View","https://www.marxfoods.com/images/welsh-lamb-boneless-leg_welshlambbonelessleg-1.jpg?resizeid=13&resizeh=200&resizew=200"
